block,layer,position,prompt,rank_intermediate,rank_answer
ic,7,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,53083,49234
ic,7,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2296,12381
ic,8,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,29753,27300
ic,8,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22777,15559
ic,8,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,82522,114058
ic,8,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,123610,108603
ic,8,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,101322,98823
ic,8,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,4589,40753
ic,9,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2352,1588
ic,9,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,15534,7773
ic,9,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,66872,90899
ic,9,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,100236,101277
ic,9,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,62761,44802
ic,9,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,5853,22784
ic,10,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2737,4407
ic,10,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,28620,21666
ic,10,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,88753,116623
ic,10,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,126483,119067
ic,10,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,68257,51764
ic,10,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,19193,61431
ic,11,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,931,2480
ic,11,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,13088,14067
ic,11,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,70749,105804
ic,11,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,75390,123465
ic,11,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,35250,46940
ic,11,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8103,31145
ic,12,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,444,940
ic,12,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2665,2704
ic,12,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,27303,57148
ic,12,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,115059,122019
ic,12,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,9522,10597
ic,12,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3997,13467
ic,13,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1553,2781
ic,13,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8778,7792
ic,13,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,49385,79516
ic,13,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,12353,33081
ic,13,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,35322,36044
ic,13,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6756,19322
ic,14,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1059,1920
ic,14,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24988,16902
ic,14,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,80278,98755
ic,14,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,119973,86860
ic,14,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,41160,32773
ic,14,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7076,23736
ic,15,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2638,2227
ic,15,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,25053,18738
ic,15,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,90245,103111
ic,15,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,110296,94784
ic,15,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,78544,55943
ic,15,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,26096,39126
ic,16,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,4465,3431
ic,16,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22697,9780
ic,16,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,60707,64952
ic,16,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,97227,58406
ic,16,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,90415,58749
ic,16,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,52638,77252
ic,17,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3812,3382
ic,17,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,15171,7175
ic,17,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,53718,50080
ic,17,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,122562,85004
ic,17,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,145451,128118
ic,17,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,105922,131433
ic,18,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,45119,48453
ic,18,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,101991,72099
ic,18,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,126286,119686
ic,18,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,142950,133923
ic,18,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,148469,136685
ic,18,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,105108,132938
ic,19,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,9506,28946
ic,19,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,70350,59979
ic,19,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,135201,126204
ic,19,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,140583,120766
ic,19,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,142986,109001
ic,19,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,125039,129209
ic,20,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6551,18936
ic,20,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,99822,88826
ic,20,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,144518,121856
ic,20,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,145219,130662
ic,20,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,147263,120859
ic,20,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,125237,95864
ic,21,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,33,2582
ic,21,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,46721,80684
ic,21,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,116191,81961
ic,21,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,144207,124653
ic,21,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,137521,95753
ic,21,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,131570,82559
ic,22,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11,2167
ic,22,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,38716,118069
ic,22,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,96584,80318
ic,22,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,129126,121999
ic,22,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,104156,133626
ic,22,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,101986,83847
ic,23,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11,1643
ic,23,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,40464,103061
ic,23,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,101054,89524
ic,23,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,108605,121567
ic,23,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,84162,126453
ic,23,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,87926,59970
ic,24,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1,346
ic,24,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,14921,34274
ic,24,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,45103,23603
ic,24,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,58534,62734
ic,24,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,18718,75471
ic,24,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11862,12254
ic,25,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1,40
ic,25,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8110,18424
ic,25,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,16796,11495
ic,25,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24782,17320
ic,25,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1460,14596
ic,25,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1302,889
ic,26,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1,23
ic,26,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1912,3612
ic,26,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2980,2232
ic,26,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2852,1300
ic,26,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,192,1417
ic,26,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,251,202
ic,0,102,The language of Savrudka is Fisushi. The ally of Gortolka is,47770,92518
ic,0,103,The language of Savrudka is Fisushi. The ally of Gortolka is,13340,25837
ic,0,104,The language of Savrudka is Fisushi. The ally of Gortolka is,80908,91226
ic,0,105,The language of Savrudka is Fisushi. The ally of Gortolka is,66627,87119
ic,0,106,The language of Savrudka is Fisushi. The ally of Gortolka is,28800,22393
ic,0,107,The language of Savrudka is Fisushi. The ally of Gortolka is,38039,98587
ic,1,102,The language of Savrudka is Fisushi. The ally of Gortolka is,11784,16422
ic,1,103,The language of Savrudka is Fisushi. The ally of Gortolka is,6025,11511
ic,1,104,The language of Savrudka is Fisushi. The ally of Gortolka is,76941,82211
ic,1,105,The language of Savrudka is Fisushi. The ally of Gortolka is,109555,109956
ic,1,106,The language of Savrudka is Fisushi. The ally of Gortolka is,30761,21805
ic,1,107,The language of Savrudka is Fisushi. The ally of Gortolka is,22471,59635
ic,2,102,The language of Savrudka is Fisushi. The ally of Gortolka is,30298,39510
ic,2,103,The language of Savrudka is Fisushi. The ally of Gortolka is,9069,21908
ic,2,104,The language of Savrudka is Fisushi. The ally of Gortolka is,107494,125663
ic,2,105,The language of Savrudka is Fisushi. The ally of Gortolka is,127468,143457
ic,2,106,The language of Savrudka is Fisushi. The ally of Gortolka is,40317,42090
ic,2,107,The language of Savrudka is Fisushi. The ally of Gortolka is,28788,82761
ic,3,102,The language of Savrudka is Fisushi. The ally of Gortolka is,5502,5752
ic,3,103,The language of Savrudka is Fisushi. The ally of Gortolka is,7817,19122
ic,3,104,The language of Savrudka is Fisushi. The ally of Gortolka is,46143,60845
ic,3,105,The language of Savrudka is Fisushi. The ally of Gortolka is,71031,118629
ic,3,106,The language of Savrudka is Fisushi. The ally of Gortolka is,7587,5476
ic,3,107,The language of Savrudka is Fisushi. The ally of Gortolka is,18239,59598
ic,4,102,The language of Savrudka is Fisushi. The ally of Gortolka is,8642,8217
ic,4,103,The language of Savrudka is Fisushi. The ally of Gortolka is,8953,33736
ic,4,104,The language of Savrudka is Fisushi. The ally of Gortolka is,67616,100414
ic,4,105,The language of Savrudka is Fisushi. The ally of Gortolka is,117667,137212
ic,4,106,The language of Savrudka is Fisushi. The ally of Gortolka is,9271,5940
ic,4,107,The language of Savrudka is Fisushi. The ally of Gortolka is,10857,39346
ic,5,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1391,503
ic,5,103,The language of Savrudka is Fisushi. The ally of Gortolka is,2202,8328
ic,5,104,The language of Savrudka is Fisushi. The ally of Gortolka is,27428,43081
ic,5,105,The language of Savrudka is Fisushi. The ally of Gortolka is,43395,103406
ic,5,106,The language of Savrudka is Fisushi. The ally of Gortolka is,1644,1078
ic,5,107,The language of Savrudka is Fisushi. The ally of Gortolka is,6869,23891
ic,6,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2176,925
ic,6,103,The language of Savrudka is Fisushi. The ally of Gortolka is,3513,14119
ic,6,104,The language of Savrudka is Fisushi. The ally of Gortolka is,24359,33889
ic,6,105,The language of Savrudka is Fisushi. The ally of Gortolka is,54137,112363
ic,6,106,The language of Savrudka is Fisushi. The ally of Gortolka is,3200,2582
ic,6,107,The language of Savrudka is Fisushi. The ally of Gortolka is,3582,12630
ic,7,102,The language of Savrudka is Fisushi. The ally of Gortolka is,679,387
ic,7,103,The language of Savrudka is Fisushi. The ally of Gortolka is,4392,14327
ic,7,104,The language of Savrudka is Fisushi. The ally of Gortolka is,19417,29781
ic,7,105,The language of Savrudka is Fisushi. The ally of Gortolka is,41797,91424
ic,7,106,The language of Savrudka is Fisushi. The ally of Gortolka is,1044,1614
ic,7,107,The language of Savrudka is Fisushi. The ally of Gortolka is,2281,13193
ic,8,102,The language of Savrudka is Fisushi. The ally of Gortolka is,17686,14749
ic,8,103,The language of Savrudka is Fisushi. The ally of Gortolka is,17985,37350
ic,8,104,The language of Savrudka is Fisushi. The ally of Gortolka is,52097,69805
ic,8,105,The language of Savrudka is Fisushi. The ally of Gortolka is,24482,65659
ic,8,106,The language of Savrudka is Fisushi. The ally of Gortolka is,3925,6537
ic,8,107,The language of Savrudka is Fisushi. The ally of Gortolka is,3971,42111
ic,9,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1593,1002
ic,9,103,The language of Savrudka is Fisushi. The ally of Gortolka is,13233,21378
ic,9,104,The language of Savrudka is Fisushi. The ally of Gortolka is,48759,54529
ic,9,105,The language of Savrudka is Fisushi. The ally of Gortolka is,26262,59321
ic,9,106,The language of Savrudka is Fisushi. The ally of Gortolka is,2883,2006
ic,9,107,The language of Savrudka is Fisushi. The ally of Gortolka is,3986,20896
ic,10,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1524,2339
ic,10,103,The language of Savrudka is Fisushi. The ally of Gortolka is,26273,50816
ic,10,104,The language of Savrudka is Fisushi. The ally of Gortolka is,91529,106928
ic,10,105,The language of Savrudka is Fisushi. The ally of Gortolka is,11824,28464
ic,10,106,The language of Savrudka is Fisushi. The ally of Gortolka is,3029,2523
ic,10,107,The language of Savrudka is Fisushi. The ally of Gortolka is,14319,56985
ic,11,102,The language of Savrudka is Fisushi. The ally of Gortolka is,558,1437
ic,11,103,The language of Savrudka is Fisushi. The ally of Gortolka is,10456,33429
ic,11,104,The language of Savrudka is Fisushi. The ally of Gortolka is,76021,95365
ic,11,105,The language of Savrudka is Fisushi. The ally of Gortolka is,3705,9022
ic,11,106,The language of Savrudka is Fisushi. The ally of Gortolka is,690,1658
ic,11,107,The language of Savrudka is Fisushi. The ally of Gortolka is,6613,32066
ic,12,102,The language of Savrudka is Fisushi. The ally of Gortolka is,376,853
ic,12,103,The language of Savrudka is Fisushi. The ally of Gortolka is,1178,6247
ic,12,104,The language of Savrudka is Fisushi. The ally of Gortolka is,19088,31880
ic,12,105,The language of Savrudka is Fisushi. The ally of Gortolka is,525,1603
ic,12,106,The language of Savrudka is Fisushi. The ally of Gortolka is,622,823
ic,12,107,The language of Savrudka is Fisushi. The ally of Gortolka is,3214,13406
ic,13,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1388,2584
ic,13,103,The language of Savrudka is Fisushi. The ally of Gortolka is,10973,26564
ic,13,104,The language of Savrudka is Fisushi. The ally of Gortolka is,43633,56328
ic,13,105,The language of Savrudka is Fisushi. The ally of Gortolka is,1933,3494
ic,13,106,The language of Savrudka is Fisushi. The ally of Gortolka is,7009,5224
ic,13,107,The language of Savrudka is Fisushi. The ally of Gortolka is,5526,20258
ic,14,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1141,1624
ic,14,103,The language of Savrudka is Fisushi. The ally of Gortolka is,11259,15771
ic,14,104,The language of Savrudka is Fisushi. The ally of Gortolka is,54767,39550
ic,14,105,The language of Savrudka is Fisushi. The ally of Gortolka is,3812,3793
ic,14,106,The language of Savrudka is Fisushi. The ally of Gortolka is,24153,7937
ic,14,107,The language of Savrudka is Fisushi. The ally of Gortolka is,5481,25522
ic,15,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1554,1198
ic,15,103,The language of Savrudka is Fisushi. The ally of Gortolka is,27052,32034
ic,15,104,The language of Savrudka is Fisushi. The ally of Gortolka is,105048,88538
ic,15,105,The language of Savrudka is Fisushi. The ally of Gortolka is,8695,5380
ic,15,106,The language of Savrudka is Fisushi. The ally of Gortolka is,44424,13854
ic,15,107,The language of Savrudka is Fisushi. The ally of Gortolka is,15208,29439
ic,16,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2118,1777
ic,16,103,The language of Savrudka is Fisushi. The ally of Gortolka is,46113,43795
ic,16,104,The language of Savrudka is Fisushi. The ally of Gortolka is,113104,85830
ic,16,105,The language of Savrudka is Fisushi. The ally of Gortolka is,13532,6919
ic,16,106,The language of Savrudka is Fisushi. The ally of Gortolka is,54857,19445
ic,16,107,The language of Savrudka is Fisushi. The ally of Gortolka is,38592,73450
ic,17,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2595,2203
ic,17,103,The language of Savrudka is Fisushi. The ally of Gortolka is,67857,70610
ic,17,104,The language of Savrudka is Fisushi. The ally of Gortolka is,109322,85680
ic,17,105,The language of Savrudka is Fisushi. The ally of Gortolka is,62302,41282
ic,17,106,The language of Savrudka is Fisushi. The ally of Gortolka is,136080,100894
ic,17,107,The language of Savrudka is Fisushi. The ally of Gortolka is,98672,134342
ic,18,102,The language of Savrudka is Fisushi. The ally of Gortolka is,39060,38409
ic,18,103,The language of Savrudka is Fisushi. The ally of Gortolka is,119983,119925
ic,18,104,The language of Savrudka is Fisushi. The ally of Gortolka is,141539,137789
ic,18,105,The language of Savrudka is Fisushi. The ally of Gortolka is,141894,133331
ic,18,106,The language of Savrudka is Fisushi. The ally of Gortolka is,148195,139404
ic,18,107,The language of Savrudka is Fisushi. The ally of Gortolka is,98953,133064
ic,19,102,The language of Savrudka is Fisushi. The ally of Gortolka is,31242,51324
ic,19,103,The language of Savrudka is Fisushi. The ally of Gortolka is,129886,131123
ic,19,104,The language of Savrudka is Fisushi. The ally of Gortolka is,141384,138946
ic,19,105,The language of Savrudka is Fisushi. The ally of Gortolka is,139740,132904
ic,19,106,The language of Savrudka is Fisushi. The ally of Gortolka is,148493,109263
ic,19,107,The language of Savrudka is Fisushi. The ally of Gortolka is,128185,134918
ic,20,102,The language of Savrudka is Fisushi. The ally of Gortolka is,18651,25767
ic,20,103,The language of Savrudka is Fisushi. The ally of Gortolka is,122097,114198
ic,20,104,The language of Savrudka is Fisushi. The ally of Gortolka is,144808,137543
ic,20,105,The language of Savrudka is Fisushi. The ally of Gortolka is,148302,140449
ic,20,106,The language of Savrudka is Fisushi. The ally of Gortolka is,149323,120597
ic,20,107,The language of Savrudka is Fisushi. The ally of Gortolka is,125483,100226
ic,21,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2542,5181
ic,21,103,The language of Savrudka is Fisushi. The ally of Gortolka is,109536,103789
ic,21,104,The language of Savrudka is Fisushi. The ally of Gortolka is,147006,139820
ic,21,105,The language of Savrudka is Fisushi. The ally of Gortolka is,139557,123269
ic,21,106,The language of Savrudka is Fisushi. The ally of Gortolka is,138921,79185
ic,21,107,The language of Savrudka is Fisushi. The ally of Gortolka is,121192,80351
ic,22,102,The language of Savrudka is Fisushi. The ally of Gortolka is,307,2999
ic,22,103,The language of Savrudka is Fisushi. The ally of Gortolka is,100562,105369
ic,22,104,The language of Savrudka is Fisushi. The ally of Gortolka is,133970,130363
ic,22,105,The language of Savrudka is Fisushi. The ally of Gortolka is,117224,113973
ic,22,106,The language of Savrudka is Fisushi. The ally of Gortolka is,126168,108876
ic,22,107,The language of Savrudka is Fisushi. The ally of Gortolka is,88258,71674
ic,23,102,The language of Savrudka is Fisushi. The ally of Gortolka is,75,2304
ic,23,103,The language of Savrudka is Fisushi. The ally of Gortolka is,94408,99323
ic,23,104,The language of Savrudka is Fisushi. The ally of Gortolka is,121319,121494
ic,23,105,The language of Savrudka is Fisushi. The ally of Gortolka is,107519,104523
ic,23,106,The language of Savrudka is Fisushi. The ally of Gortolka is,98542,94485
ic,23,107,The language of Savrudka is Fisushi. The ally of Gortolka is,78037,53033
ic,24,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2,778
ic,24,103,The language of Savrudka is Fisushi. The ally of Gortolka is,48376,40331
ic,24,104,The language of Savrudka is Fisushi. The ally of Gortolka is,80631,74562
ic,24,105,The language of Savrudka is Fisushi. The ally of Gortolka is,50425,38925
ic,24,106,The language of Savrudka is Fisushi. The ally of Gortolka is,25570,28424
ic,24,107,The language of Savrudka is Fisushi. The ally of Gortolka is,10816,11195
ic,25,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1,204
ic,25,103,The language of Savrudka is Fisushi. The ally of Gortolka is,18725,15528
ic,25,104,The language of Savrudka is Fisushi. The ally of Gortolka is,54074,30420
ic,25,105,The language of Savrudka is Fisushi. The ally of Gortolka is,18591,14684
ic,25,106,The language of Savrudka is Fisushi. The ally of Gortolka is,2979,5241
ic,25,107,The language of Savrudka is Fisushi. The ally of Gortolka is,1527,1013
ic,26,102,The language of Savrudka is Fisushi. The ally of Gortolka is,1,65
ic,26,103,The language of Savrudka is Fisushi. The ally of Gortolka is,2616,2614
ic,26,104,The language of Savrudka is Fisushi. The ally of Gortolka is,4349,2018
ic,26,105,The language of Savrudka is Fisushi. The ally of Gortolka is,4026,2855
ic,26,106,The language of Savrudka is Fisushi. The ally of Gortolka is,347,738
ic,26,107,The language of Savrudka is Fisushi. The ally of Gortolka is,324,210
ic,0,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,111063,6171
ic,0,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,10737,40679
ic,0,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,32673,87927
ic,0,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,55001,60846
ic,0,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,49647,6824
ic,0,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,141106,75266
ic,1,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,96519,2293
ic,1,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,9743,17709
ic,1,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,25147,63029
ic,1,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,49278,62792
ic,1,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,67154,8815
ic,1,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,132717,78669
ic,2,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,88408,5829
ic,2,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,7023,40800
ic,2,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,29647,96654
ic,2,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,37463,80005
ic,2,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,46498,12727
ic,2,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,125746,102281
ic,3,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,60570,3018
ic,3,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,878,8815
ic,3,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,18412,66416
ic,3,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,16153,37817
ic,3,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,9586,3988
ic,3,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,110638,64572
ic,4,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,49715,3446
