block,layer,position,prompt,rank_intermediate,rank_answer
A,5,10,What is the capital of the rival of the rival of Dorrudmek?,130,248
A,5,11,What is the capital of the rival of the rival of Dorrudmek?,41155,106838
A,5,12,What is the capital of the rival of the rival of Dorrudmek?,102067,61816
A,5,13,What is the capital of the rival of the rival of Dorrudmek?,114574,150043
A,5,14,What is the capital of the rival of the rival of Dorrudmek?,134473,150248
A,5,15,What is the capital of the rival of the rival of Dorrudmek?,61174,66053
A,6,10,What is the capital of the rival of the rival of Dorrudmek?,79,217
A,6,11,What is the capital of the rival of the rival of Dorrudmek?,45717,108524
A,6,12,What is the capital of the rival of the rival of Dorrudmek?,115645,99393
A,6,13,What is the capital of the rival of the rival of Dorrudmek?,131300,150513
A,6,14,What is the capital of the rival of the rival of Dorrudmek?,140925,151282
A,6,15,What is the capital of the rival of the rival of Dorrudmek?,50296,60074
A,7,10,What is the capital of the rival of the rival of Dorrudmek?,125,391
A,7,11,What is the capital of the rival of the rival of Dorrudmek?,43016,84673
A,7,12,What is the capital of the rival of the rival of Dorrudmek?,88379,66879
A,7,13,What is the capital of the rival of the rival of Dorrudmek?,135155,150337
A,7,14,What is the capital of the rival of the rival of Dorrudmek?,126196,149795
A,7,15,What is the capital of the rival of the rival of Dorrudmek?,103505,110587
A,8,10,What is the capital of the rival of the rival of Dorrudmek?,101,367
A,8,11,What is the capital of the rival of the rival of Dorrudmek?,37998,85036
A,8,12,What is the capital of the rival of the rival of Dorrudmek?,101703,72719
A,8,13,What is the capital of the rival of the rival of Dorrudmek?,131665,149368
A,8,14,What is the capital of the rival of the rival of Dorrudmek?,128268,148933
A,8,15,What is the capital of the rival of the rival of Dorrudmek?,126129,118923
A,9,10,What is the capital of the rival of the rival of Dorrudmek?,58,181
A,9,11,What is the capital of the rival of the rival of Dorrudmek?,36773,86024
A,9,12,What is the capital of the rival of the rival of Dorrudmek?,109920,89294
A,9,13,What is the capital of the rival of the rival of Dorrudmek?,133200,149805
A,9,14,What is the capital of the rival of the rival of Dorrudmek?,132866,149548
A,9,15,What is the capital of the rival of the rival of Dorrudmek?,142697,136182
A,10,10,What is the capital of the rival of the rival of Dorrudmek?,41,115
A,10,11,What is the capital of the rival of the rival of Dorrudmek?,33549,70345
A,10,12,What is the capital of the rival of the rival of Dorrudmek?,107064,97643
A,10,13,What is the capital of the rival of the rival of Dorrudmek?,136363,148314
A,10,14,What is the capital of the rival of the rival of Dorrudmek?,131113,148429
A,10,15,What is the capital of the rival of the rival of Dorrudmek?,149025,140500
A,11,10,What is the capital of the rival of the rival of Dorrudmek?,42,125
A,11,11,What is the capital of the rival of the rival of Dorrudmek?,31062,95537
A,11,12,What is the capital of the rival of the rival of Dorrudmek?,105112,104419
A,11,13,What is the capital of the rival of the rival of Dorrudmek?,134380,147436
A,11,14,What is the capital of the rival of the rival of Dorrudmek?,131150,148423
A,11,15,What is the capital of the rival of the rival of Dorrudmek?,148757,135080
A,12,10,What is the capital of the rival of the rival of Dorrudmek?,20,70
A,12,11,What is the capital of the rival of the rival of Dorrudmek?,22400,82375
A,12,12,What is the capital of the rival of the rival of Dorrudmek?,117410,126488
A,12,13,What is the capital of the rival of the rival of Dorrudmek?,135370,148896
A,12,14,What is the capital of the rival of the rival of Dorrudmek?,131684,149693
A,12,15,What is the capital of the rival of the rival of Dorrudmek?,144996,117578
A,13,10,What is the capital of the rival of the rival of Dorrudmek?,22,57
A,13,11,What is the capital of the rival of the rival of Dorrudmek?,23750,118635
A,13,12,What is the capital of the rival of the rival of Dorrudmek?,128526,144573
A,13,13,What is the capital of the rival of the rival of Dorrudmek?,138697,150867
A,13,14,What is the capital of the rival of the rival of Dorrudmek?,131898,151048
A,13,15,What is the capital of the rival of the rival of Dorrudmek?,145749,127472
A,14,10,What is the capital of the rival of the rival of Dorrudmek?,16,221
A,14,11,What is the capital of the rival of the rival of Dorrudmek?,54419,145945
A,14,12,What is the capital of the rival of the rival of Dorrudmek?,140372,149899
A,14,13,What is the capital of the rival of the rival of Dorrudmek?,141862,151382
A,14,14,What is the capital of the rival of the rival of Dorrudmek?,142616,151696
A,14,15,What is the capital of the rival of the rival of Dorrudmek?,142990,123339
A,15,10,What is the capital of the rival of the rival of Dorrudmek?,16,118
A,15,11,What is the capital of the rival of the rival of Dorrudmek?,112714,148688
A,15,12,What is the capital of the rival of the rival of Dorrudmek?,142598,149498
A,15,13,What is the capital of the rival of the rival of Dorrudmek?,145028,151182
A,15,14,What is the capital of the rival of the rival of Dorrudmek?,147416,151646
A,15,15,What is the capital of the rival of the rival of Dorrudmek?,131522,92434
A,16,10,What is the capital of the rival of the rival of Dorrudmek?,17,143
A,16,11,What is the capital of the rival of the rival of Dorrudmek?,148150,151223
A,16,12,What is the capital of the rival of the rival of Dorrudmek?,149326,150320
A,16,13,What is the capital of the rival of the rival of Dorrudmek?,150571,151638
A,16,14,What is the capital of the rival of the rival of Dorrudmek?,150617,151589
A,16,15,What is the capital of the rival of the rival of Dorrudmek?,142016,106730
A,17,10,What is the capital of the rival of the rival of Dorrudmek?,13,23
A,17,11,What is the capital of the rival of the rival of Dorrudmek?,148314,149665
A,17,12,What is the capital of the rival of the rival of Dorrudmek?,150602,147099
A,17,13,What is the capital of the rival of the rival of Dorrudmek?,150894,151373
A,17,14,What is the capital of the rival of the rival of Dorrudmek?,151584,151495
A,17,15,What is the capital of the rival of the rival of Dorrudmek?,142121,106016
A,18,10,What is the capital of the rival of the rival of Dorrudmek?,16,28
A,18,11,What is the capital of the rival of the rival of Dorrudmek?,146315,148955
A,18,12,What is the capital of the rival of the rival of Dorrudmek?,148079,143661
A,18,13,What is the capital of the rival of the rival of Dorrudmek?,151031,151370
A,18,14,What is the capital of the rival of the rival of Dorrudmek?,151314,151559
A,18,15,What is the capital of the rival of the rival of Dorrudmek?,143796,106143
A,19,10,What is the capital of the rival of the rival of Dorrudmek?,27,28
A,19,11,What is the capital of the rival of the rival of Dorrudmek?,98164,106770
A,19,12,What is the capital of the rival of the rival of Dorrudmek?,148848,120071
A,19,13,What is the capital of the rival of the rival of Dorrudmek?,151442,151188
A,19,14,What is the capital of the rival of the rival of Dorrudmek?,151021,149646
A,19,15,What is the capital of the rival of the rival of Dorrudmek?,139966,88647
A,20,10,What is the capital of the rival of the rival of Dorrudmek?,24,27
A,20,11,What is the capital of the rival of the rival of Dorrudmek?,75235,55991
A,20,12,What is the capital of the rival of the rival of Dorrudmek?,135355,64762
A,20,13,What is the capital of the rival of the rival of Dorrudmek?,129729,147979
A,20,14,What is the capital of the rival of the rival of Dorrudmek?,142361,127404
A,20,15,What is the capital of the rival of the rival of Dorrudmek?,140758,95528
A,21,10,What is the capital of the rival of the rival of Dorrudmek?,19,24
A,21,11,What is the capital of the rival of the rival of Dorrudmek?,50495,30166
A,21,12,What is the capital of the rival of the rival of Dorrudmek?,139857,54667
A,21,13,What is the capital of the rival of the rival of Dorrudmek?,104031,147658
A,21,14,What is the capital of the rival of the rival of Dorrudmek?,100519,104711
A,21,15,What is the capital of the rival of the rival of Dorrudmek?,139058,97459
A,22,10,What is the capital of the rival of the rival of Dorrudmek?,14,31
A,22,11,What is the capital of the rival of the rival of Dorrudmek?,57208,22839
A,22,12,What is the capital of the rival of the rival of Dorrudmek?,135362,76741
A,22,13,What is the capital of the rival of the rival of Dorrudmek?,73944,142907
A,22,14,What is the capital of the rival of the rival of Dorrudmek?,103600,93054
A,22,15,What is the capital of the rival of the rival of Dorrudmek?,141342,113539
A,23,10,What is the capital of the rival of the rival of Dorrudmek?,18,46
A,23,11,What is the capital of the rival of the rival of Dorrudmek?,51341,21486
A,23,12,What is the capital of the rival of the rival of Dorrudmek?,100210,53383
A,23,13,What is the capital of the rival of the rival of Dorrudmek?,70660,133067
A,23,14,What is the capital of the rival of the rival of Dorrudmek?,92850,105662
A,23,15,What is the capital of the rival of the rival of Dorrudmek?,133002,99183
A,24,10,What is the capital of the rival of the rival of Dorrudmek?,18,80
A,24,11,What is the capital of the rival of the rival of Dorrudmek?,66141,44645
A,24,12,What is the capital of the rival of the rival of Dorrudmek?,111811,104342
A,24,13,What is the capital of the rival of the rival of Dorrudmek?,114203,128260
A,24,14,What is the capital of the rival of the rival of Dorrudmek?,95087,130807
A,24,15,What is the capital of the rival of the rival of Dorrudmek?,130019,106046
A,25,10,What is the capital of the rival of the rival of Dorrudmek?,22,118
A,25,11,What is the capital of the rival of the rival of Dorrudmek?,51753,45739
A,25,12,What is the capital of the rival of the rival of Dorrudmek?,103201,41322
A,25,13,What is the capital of the rival of the rival of Dorrudmek?,97612,102340
A,25,14,What is the capital of the rival of the rival of Dorrudmek?,68384,110650
A,25,15,What is the capital of the rival of the rival of Dorrudmek?,123604,101352
A,26,10,What is the capital of the rival of the rival of Dorrudmek?,23,94
A,26,11,What is the capital of the rival of the rival of Dorrudmek?,32144,58225
A,26,12,What is the capital of the rival of the rival of Dorrudmek?,25489,27105
A,26,13,What is the capital of the rival of the rival of Dorrudmek?,74868,96465
A,26,14,What is the capital of the rival of the rival of Dorrudmek?,27246,84655
A,26,15,What is the capital of the rival of the rival of Dorrudmek?,103968,62932
A,0,10,What is the language of the rival of the ally of Dorrudmek?,25,6
A,0,11,What is the language of the rival of the ally of Dorrudmek?,25824,22151
A,0,12,What is the language of the rival of the ally of Dorrudmek?,4785,18951
A,0,13,What is the language of the rival of the ally of Dorrudmek?,123665,129058
A,0,14,What is the language of the rival of the ally of Dorrudmek?,108276,149184
A,0,15,What is the language of the rival of the ally of Dorrudmek?,108617,79437
A,1,10,What is the language of the rival of the ally of Dorrudmek?,13,5
A,1,11,What is the language of the rival of the ally of Dorrudmek?,14502,14295
A,1,12,What is the language of the rival of the ally of Dorrudmek?,7195,24462
A,1,13,What is the language of the rival of the ally of Dorrudmek?,85995,113896
A,1,14,What is the language of the rival of the ally of Dorrudmek?,55045,142839
A,1,15,What is the language of the rival of the ally of Dorrudmek?,42102,24173
A,2,10,What is the language of the rival of the ally of Dorrudmek?,6,3
A,2,11,What is the language of the rival of the ally of Dorrudmek?,53132,50692
A,2,12,What is the language of the rival of the ally of Dorrudmek?,27745,53897
A,2,13,What is the language of the rival of the ally of Dorrudmek?,39999,68856
A,2,14,What is the language of the rival of the ally of Dorrudmek?,111736,148234
A,2,15,What is the language of the rival of the ally of Dorrudmek?,123928,118784
A,3,10,What is the language of the rival of the ally of Dorrudmek?,5,4
A,3,11,What is the language of the rival of the ally of Dorrudmek?,10398,9977
A,3,12,What is the language of the rival of the ally of Dorrudmek?,4357,16104
A,3,13,What is the language of the rival of the ally of Dorrudmek?,1097,2869
A,3,14,What is the language of the rival of the ally of Dorrudmek?,5906,33906
A,3,15,What is the language of the rival of the ally of Dorrudmek?,74704,67625
A,4,10,What is the language of the rival of the ally of Dorrudmek?,4,3
A,4,11,What is the language of the rival of the ally of Dorrudmek?,17667,18226
A,4,12,What is the language of the rival of the ally of Dorrudmek?,25584,94419
A,4,13,What is the language of the rival of the ally of Dorrudmek?,63370,99670
A,4,14,What is the language of the rival of the ally of Dorrudmek?,43980,126866
A,4,15,What is the language of the rival of the ally of Dorrudmek?,114979,97564
A,5,10,What is the language of the rival of the ally of Dorrudmek?,2,3
A,5,11,What is the language of the rival of the ally of Dorrudmek?,26735,27245
A,5,12,What is the language of the rival of the ally of Dorrudmek?,37392,106093
A,5,13,What is the language of the rival of the ally of Dorrudmek?,142362,148980
A,5,14,What is the language of the rival of the ally of Dorrudmek?,127084,149558
A,5,15,What is the language of the rival of the ally of Dorrudmek?,108427,86377
A,6,10,What is the language of the rival of the ally of Dorrudmek?,2,6
A,6,11,What is the language of the rival of the ally of Dorrudmek?,26690,28154
A,6,12,What is the language of the rival of the ally of Dorrudmek?,50534,124602
A,6,13,What is the language of the rival of the ally of Dorrudmek?,142797,149969
A,6,14,What is the language of the rival of the ally of Dorrudmek?,138174,150745
A,6,15,What is the language of the rival of the ally of Dorrudmek?,99228,75805
A,7,10,What is the language of the rival of the ally of Dorrudmek?,3,5
A,7,11,What is the language of the rival of the ally of Dorrudmek?,23845,25155
A,7,12,What is the language of the rival of the ally of Dorrudmek?,25948,80591
A,7,13,What is the language of the rival of the ally of Dorrudmek?,143471,150450
A,7,14,What is the language of the rival of the ally of Dorrudmek?,120979,146838
A,7,15,What is the language of the rival of the ally of Dorrudmek?,140159,132713
A,8,10,What is the language of the rival of the ally of Dorrudmek?,3,5
A,8,11,What is the language of the rival of the ally of Dorrudmek?,18761,20106
A,8,12,What is the language of the rival of the ally of Dorrudmek?,25604,74843
A,8,13,What is the language of the rival of the ally of Dorrudmek?,134455,148156
A,8,14,What is the language of the rival of the ally of Dorrudmek?,113469,144109
A,8,15,What is the language of the rival of the ally of Dorrudmek?,145811,140593
A,9,10,What is the language of the rival of the ally of Dorrudmek?,3,7
A,9,11,What is the language of the rival of the ally of Dorrudmek?,23165,21197
A,9,12,What is the language of the rival of the ally of Dorrudmek?,51320,101053
A,9,13,What is the language of the rival of the ally of Dorrudmek?,136386,147320
A,9,14,What is the language of the rival of the ally of Dorrudmek?,131249,146506
A,9,15,What is the language of the rival of the ally of Dorrudmek?,151088,150445
A,10,10,What is the language of the rival of the ally of Dorrudmek?,4,9
A,10,11,What is the language of the rival of the ally of Dorrudmek?,26773,22330
A,10,12,What is the language of the rival of the ally of Dorrudmek?,74058,109898
A,10,13,What is the language of the rival of the ally of Dorrudmek?,148274,150036
A,10,14,What is the language of the rival of the ally of Dorrudmek?,144556,148383
A,10,15,What is the language of the rival of the ally of Dorrudmek?,151609,151361
A,11,10,What is the language of the rival of the ally of Dorrudmek?,3,10
A,11,11,What is the language of the rival of the ally of Dorrudmek?,28649,22770
A,11,12,What is the language of the rival of the ally of Dorrudmek?,73282,107223
A,11,13,What is the language of the rival of the ally of Dorrudmek?,148500,149174
A,11,14,What is the language of the rival of the ally of Dorrudmek?,145615,148049
A,11,15,What is the language of the rival of the ally of Dorrudmek?,151690,151451
A,12,10,What is the language of the rival of the ally of Dorrudmek?,3,6
A,12,11,What is the language of the rival of the ally of Dorrudmek?,26895,21038
A,12,12,What is the language of the rival of the ally of Dorrudmek?,104663,127499
A,12,13,What is the language of the rival of the ally of Dorrudmek?,150034,150557
A,12,14,What is the language of the rival of the ally of Dorrudmek?,147748,149090
A,12,15,What is the language of the rival of the ally of Dorrudmek?,151185,150638
A,13,10,What is the language of the rival of the ally of Dorrudmek?,3,7
A,13,11,What is the language of the rival of the ally of Dorrudmek?,28017,20556
A,13,12,What is the language of the rival of the ally of Dorrudmek?,119586,137229
A,13,13,What is the language of the rival of the ally of Dorrudmek?,149994,150470
A,13,14,What is the language of the rival of the ally of Dorrudmek?,147062,149013
A,13,15,What is the language of the rival of the ally of Dorrudmek?,151279,150696
A,14,10,What is the language of the rival of the ally of Dorrudmek?,6,7
A,14,11,What is the language of the rival of the ally of Dorrudmek?,40896,32348
A,14,12,What is the language of the rival of the ally of Dorrudmek?,131821,145566
A,14,13,What is the language of the rival of the ally of Dorrudmek?,149726,150424
A,14,14,What is the language of the rival of the ally of Dorrudmek?,149763,150650
A,14,15,What is the language of the rival of the ally of Dorrudmek?,151397,150568
A,15,10,What is the language of the rival of the ally of Dorrudmek?,5,16
A,15,11,What is the language of the rival of the ally of Dorrudmek?,117060,123586
A,15,12,What is the language of the rival of the ally of Dorrudmek?,141036,149000
A,15,13,What is the language of the rival of the ally of Dorrudmek?,150442,150969
A,15,14,What is the language of the rival of the ally of Dorrudmek?,150650,151255
A,15,15,What is the language of the rival of the ally of Dorrudmek?,150034,146197
A,16,10,What is the language of the rival of the ally of Dorrudmek?,13,23
A,16,11,What is the language of the rival of the ally of Dorrudmek?,142985,147697
A,16,12,What is the language of the rival of the ally of Dorrudmek?,150639,151634
A,16,13,What is the language of the rival of the ally of Dorrudmek?,151724,151737
A,16,14,What is the language of the rival of the ally of Dorrudmek?,151632,151688
A,16,15,What is the language of the rival of the ally of Dorrudmek?,150198,147763
A,17,10,What is the language of the rival of the ally of Dorrudmek?,21,64
A,17,11,What is the language of the rival of the ally of Dorrudmek?,139209,146261
A,17,12,What is the language of the rival of the ally of Dorrudmek?,149151,151626
A,17,13,What is the language of the rival of the ally of Dorrudmek?,151722,151794
A,17,14,What is the language of the rival of the ally of Dorrudmek?,151689,151797
A,17,15,What is the language of the rival of the ally of Dorrudmek?,150382,147612
A,18,10,What is the language of the rival of the ally of Dorrudmek?,15,52
A,18,11,What is the language of the rival of the ally of Dorrudmek?,63955,93859
A,18,12,What is the language of the rival of the ally of Dorrudmek?,129140,143979
A,18,13,What is the language of the rival of the ally of Dorrudmek?,151459,151581
A,18,14,What is the language of the rival of the ally of Dorrudmek?,151341,151717
A,18,15,What is the language of the rival of the ally of Dorrudmek?,151255,147464
A,19,10,What is the language of the rival of the ally of Dorrudmek?,14,21
A,19,11,What is the language of the rival of the ally of Dorrudmek?,31566,42130
A,19,12,What is the language of the rival of the ally of Dorrudmek?,136330,148421
A,19,13,What is the language of the rival of the ally of Dorrudmek?,151336,151370
A,19,14,What is the language of the rival of the ally of Dorrudmek?,150636,151564
A,19,15,What is the language of the rival of the ally of Dorrudmek?,148774,121498
A,20,10,What is the language of the rival of the ally of Dorrudmek?,11,19
A,20,11,What is the language of the rival of the ally of Dorrudmek?,23378,53041
A,20,12,What is the language of the rival of the ally of Dorrudmek?,129120,150389
A,20,13,What is the language of the rival of the ally of Dorrudmek?,150853,151432
A,20,14,What is the language of the rival of the ally of Dorrudmek?,135009,150750
A,20,15,What is the language of the rival of the ally of Dorrudmek?,147361,126501
A,21,10,What is the language of the rival of the ally of Dorrudmek?,17,24
A,21,11,What is the language of the rival of the ally of Dorrudmek?,15453,48807
A,21,12,What is the language of the rival of the ally of Dorrudmek?,118519,148124
A,21,13,What is the language of the rival of the ally of Dorrudmek?,148904,151422
A,21,14,What is the language of the rival of the ally of Dorrudmek?,130116,131287
A,21,15,What is the language of the rival of the ally of Dorrudmek?,143645,112621
A,22,10,What is the language of the rival of the ally of Dorrudmek?,20,21
A,22,11,What is the language of the rival of the ally of Dorrudmek?,12457,80567
A,22,12,What is the language of the rival of the ally of Dorrudmek?,70842,142411
A,22,13,What is the language of the rival of the ally of Dorrudmek?,109421,149109
A,22,14,What is the language of the rival of the ally of Dorrudmek?,111118,131559
A,22,15,What is the language of the rival of the ally of Dorrudmek?,142488,128300
A,23,10,What is the language of the rival of the ally of Dorrudmek?,24,40
A,23,11,What is the language of the rival of the ally of Dorrudmek?,16450,77228
A,23,12,What is the language of the rival of the ally of Dorrudmek?,72853,138285
A,23,13,What is the language of the rival of the ally of Dorrudmek?,95210,135287
A,23,14,What is the language of the rival of the ally of Dorrudmek?,103026,114612
A,23,15,What is the language of the rival of the ally of Dorrudmek?,129321,115195
A,24,10,What is the language of the rival of the ally of Dorrudmek?,21,28
A,24,11,What is the language of the rival of the ally of Dorrudmek?,25798,98834
A,24,12,What is the language of the rival of the ally of Dorrudmek?,89047,144913
A,24,13,What is the language of the rival of the ally of Dorrudmek?,116659,133660
A,24,14,What is the language of the rival of the ally of Dorrudmek?,110341,91004
A,24,15,What is the language of the rival of the ally of Dorrudmek?,109160,88478
A,25,10,What is the language of the rival of the ally of Dorrudmek?,15,19
A,25,11,What is the language of the rival of the ally of Dorrudmek?,15864,39800
A,25,12,What is the language of the rival of the ally of Dorrudmek?,38259,125194
A,25,13,What is the language of the rival of the ally of Dorrudmek?,85680,117373
A,25,14,What is the language of the rival of the ally of Dorrudmek?,55143,37674
A,25,15,What is the language of the rival of the ally of Dorrudmek?,97589,73291
A,26,10,What is the language of the rival of the ally of Dorrudmek?,15,21
A,26,11,What is the language of the rival of the ally of Dorrudmek?,4365,7062
A,26,12,What is the language of the rival of the ally of Dorrudmek?,6278,45060
A,26,13,What is the language of the rival of the ally of Dorrudmek?,19298,62530
A,26,14,What is the language of the rival of the ally of Dorrudmek?,13442,12725
A,26,15,What is the language of the rival of the ally of Dorrudmek?,66109,41101
A,0,10,What is the currency of the rival of the ally of Dorrudmek?,25,170
A,0,11,What is the currency of the rival of the ally of Dorrudmek?,24834,48437
A,0,12,What is the currency of the rival of the ally of Dorrudmek?,4760,26123
A,0,13,What is the currency of the rival of the ally of Dorrudmek?,123237,88917
A,0,14,What is the currency of the rival of the ally of Dorrudmek?,107145,71731
A,0,15,What is the currency of the rival of the ally of Dorrudmek?,107221,91121
A,1,10,What is the currency of the rival of the ally of Dorrudmek?,12,141
A,1,11,What is the currency of the rival of the ally of Dorrudmek?,15255,27180
A,1,12,What is the currency of the rival of the ally of Dorrudmek?,7213,39050
A,1,13,What is the currency of the rival of the ally of Dorrudmek?,86235,40974
A,1,14,What is the currency of the rival of the ally of Dorrudmek?,55625,62031
A,1,15,What is the currency of the rival of the ally of Dorrudmek?,41189,34920
A,2,10,What is the currency of the rival of the ally of Dorrudmek?,6,79
A,2,11,What is the currency of the rival of the ally of Dorrudmek?,51873,55803
A,2,12,What is the currency of the rival of the ally of Dorrudmek?,27181,61151
A,2,13,What is the currency of the rival of the ally of Dorrudmek?,38335,36938
A,2,14,What is the currency of the rival of the ally of Dorrudmek?,110319,95745
A,2,15,What is the currency of the rival of the ally of Dorrudmek?,125641,102959
A,3,10,What is the currency of the rival of the ally of Dorrudmek?,6,97
A,3,11,What is the currency of the rival of the ally of Dorrudmek?,11503,19340
A,3,12,What is the currency of the rival of the ally of Dorrudmek?,4226,27802
A,3,13,What is the currency of the rival of the ally of Dorrudmek?,1043,3385
A,3,14,What is the currency of the rival of the ally of Dorrudmek?,5806,19857
A,3,15,What is the currency of the rival of the ally of Dorrudmek?,81236,81790
A,4,10,What is the currency of the rival of the ally of Dorrudmek?,5,73
A,4,11,What is the currency of the rival of the ally of Dorrudmek?,19557,32260
A,4,12,What is the currency of the rival of the ally of Dorrudmek?,25744,81255
A,4,13,What is the currency of the rival of the ally of Dorrudmek?,64419,47281
A,4,14,What is the currency of the rival of the ally of Dorrudmek?,48088,63743
A,4,15,What is the currency of the rival of the ally of Dorrudmek?,116138,93237
A,5,10,What is the currency of the rival of the ally of Dorrudmek?,3,59
A,5,11,What is the currency of the rival of the ally of Dorrudmek?,32063,43938
A,5,12,What is the currency of the rival of the ally of Dorrudmek?,40537,80586
A,5,13,What is the currency of the rival of the ally of Dorrudmek?,143093,126994
A,5,14,What is the currency of the rival of the ally of Dorrudmek?,130233,122181
A,5,15,What is the currency of the rival of the ally of Dorrudmek?,112746,80764
A,6,10,What is the currency of the rival of the ally of Dorrudmek?,2,64
A,6,11,What is the currency of the rival of the ally of Dorrudmek?,33790,43035
A,6,12,What is the currency of the rival of the ally of Dorrudmek?,52223,105800
A,6,13,What is the currency of the rival of the ally of Dorrudmek?,144453,138196
A,6,14,What is the currency of the rival of the ally of Dorrudmek?,140161,136333
A,6,15,What is the currency of the rival of the ally of Dorrudmek?,94444,79408
A,7,10,What is the currency of the rival of the ally of Dorrudmek?,3,109
A,7,11,What is the currency of the rival of the ally of Dorrudmek?,33040,41653
A,7,12,What is the currency of the rival of the ally of Dorrudmek?,27921,84291
A,7,13,What is the currency of the rival of the ally of Dorrudmek?,145240,143800
A,7,14,What is the currency of the rival of the ally of Dorrudmek?,124677,121764
A,7,15,What is the currency of the rival of the ally of Dorrudmek?,139892,117328
A,8,10,What is the currency of the rival of the ally of Dorrudmek?,3,116
A,8,11,What is the currency of the rival of the ally of Dorrudmek?,25117,38974
A,8,12,What is the currency of the rival of the ally of Dorrudmek?,29444,89161
A,8,13,What is the currency of the rival of the ally of Dorrudmek?,137761,137047
A,8,14,What is the currency of the rival of the ally of Dorrudmek?,120882,121947
A,8,15,What is the currency of the rival of the ally of Dorrudmek?,145724,135627
A,9,10,What is the currency of the rival of the ally of Dorrudmek?,3,181
A,9,11,What is the currency of the rival of the ally of Dorrudmek?,37882,51379
A,9,12,What is the currency of the rival of the ally of Dorrudmek?,70991,119510
A,9,13,What is the currency of the rival of the ally of Dorrudmek?,140655,140957
A,9,14,What is the currency of the rival of the ally of Dorrudmek?,133413,135235
A,9,15,What is the currency of the rival of the ally of Dorrudmek?,150890,146425
A,10,10,What is the currency of the rival of the ally of Dorrudmek?,4,232
A,10,11,What is the currency of the rival of the ally of Dorrudmek?,41276,45829
A,10,12,What is the currency of the rival of the ally of Dorrudmek?,88212,118144
A,10,13,What is the currency of the rival of the ally of Dorrudmek?,149011,145042
A,10,14,What is the currency of the rival of the ally of Dorrudmek?,144811,138494
A,10,15,What is the currency of the rival of the ally of Dorrudmek?,151544,148640
A,11,10,What is the currency of the rival of the ally of Dorrudmek?,3,201
A,11,11,What is the currency of the rival of the ally of Dorrudmek?,43043,50361
A,11,12,What is the currency of the rival of the ally of Dorrudmek?,89877,120701
A,11,13,What is the currency of the rival of the ally of Dorrudmek?,149215,144434
A,11,14,What is the currency of the rival of the ally of Dorrudmek?,145067,141854
A,11,15,What is the currency of the rival of the ally of Dorrudmek?,151627,149187
A,12,10,What is the currency of the rival of the ally of Dorrudmek?,4,73
A,12,11,What is the currency of the rival of the ally of Dorrudmek?,41775,42518
A,12,12,What is the currency of the rival of the ally of Dorrudmek?,118707,131228
A,12,13,What is the currency of the rival of the ally of Dorrudmek?,150365,147418
A,12,14,What is the currency of the rival of the ally of Dorrudmek?,146914,142893
A,12,15,What is the currency of the rival of the ally of Dorrudmek?,151107,146435
A,13,10,What is the currency of the rival of the ally of Dorrudmek?,4,160
A,13,11,What is the currency of the rival of the ally of Dorrudmek?,39623,55402
A,13,12,What is the currency of the rival of the ally of Dorrudmek?,129013,144801
A,13,13,What is the currency of the rival of the ally of Dorrudmek?,150240,149224
A,13,14,What is the currency of the rival of the ally of Dorrudmek?,145363,145651
